,bat_cap_2023,detach_bat_cap_new,detach_bat_cap_old
Sapporo,90664,1703736,497600
Sendai,188840,867960,330400
Saitama,175728,1217072,381600
Chiba,108744,810456,288000
Yokohama,269832,3071768,1126400
Kawasaki,81488,888112,299200
Sagamihara,90424,701576,234400
Niigata,81864,980536,468800
Shizuoka,198400,692800,367200
Hamamatsu,277176,806824,414400
Nagoya,315872,1433728,742400
Kyoto,151200,1312800,806400
Osaka,140592,1419408,748800
Sakai,140720,683280,392800
Kobe,198440,1259960,444000
Okayama,140872,718328,424800
Hiroshima,149888,953312,494400
Kitakyushu,181168,628432,542400
Fukuoka,183016,636184,367200
Kumamoto,167024,604176,292800
Tokyo,537248,4553152,2102400
